epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9127,0.99113,5.61776,0.02254,0,0,0,0,0.09841,6.00628,0.0032,1.19e-06,1.19e-06,1.19e-06
2,41.2897,0.85752,5.47347,0.01499,0,0,0,0,0.10062,5.93996,0.00328,3.53466e-06,3.53466e-06,3.53466e-06
3,57.4713,0.83951,5.38528,0.01456,0,0,0,0,0.09826,5.84086,0.00316,5.83219e-06,5.83219e-06,5.83219e-06
4,73.5181,1.03195,5.29549,0.0207,0,0,0,0,0.09865,5.73545,0.003,8.0826e-06,8.0826e-06,8.0826e-06
5,89.8143,0.831,5.40436,0.01651,0,0,0,0,0.09415,5.58123,0.00272,1.02859e-05,1.02859e-05,1.02859e-05
6,105.512,0.71311,4.78149,0.0136,0,0,0,0,0.10189,5.38926,0.00304,1.2442e-05,1.2442e-05,1.2442e-05
7,121.706,0.81539,4.70887,0.01611,0,0,0,0,0.12875,5.07048,0.0041,1.45511e-05,1.45511e-05,1.45511e-05
8,138.318,0.66468,4.63725,0.01261,0.07692,0.33333,0.03045,0.03045,0.19104,4.81744,0.00661,1.6613e-05,1.6613e-05,1.6613e-05
9,154.535,0.83466,4.21074,0.01777,0.07692,0.33333,0.04188,0.04188,0.20296,4.641,0.00709,1.86278e-05,1.86278e-05,1.86278e-05
10,170.753,0.56952,4.35828,0.01146,0.07692,0.33333,0.05583,0.05583,0.21337,4.36789,0.00745,2.05954e-05,2.05954e-05,2.05954e-05
11,186.868,0.72353,3.67028,0.01384,0.08333,0.33333,0.067,0.067,0.18442,4.03358,0.00623,2.2516e-05,2.2516e-05,2.2516e-05
12,204.28,0.68159,3.57669,0.01334,0.15385,0.66667,0.127,0.127,0.18327,3.72831,0.00614,2.43894e-05,2.43894e-05,2.43894e-05
13,220.081,0.81979,3.24115,0.01701,0.16667,0.66667,0.26179,0.26179,0.17215,3.32475,0.00568,2.62157e-05,2.62157e-05,2.62157e-05
14,236,0.82821,2.56941,0.01559,0.27273,1,0.555,0.555,0.15332,2.88815,0.00492,2.79949e-05,2.79949e-05,2.79949e-05
15,251.188,0.87034,2.83338,0.01746,0.50777,0.33333,0.59075,0.59075,0.14242,2.37353,0.00445,2.97269e-05,2.97269e-05,2.97269e-05
16,267.154,0.71314,2.1015,0.01414,1,0.56677,0.80643,0.80643,0.13536,2.00586,0.0041,3.14118e-05,3.14118e-05,3.14118e-05
